slug,provider,actionButtons,plan,nodeType,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,address
tatum-pay-as-you-go-full-archive,Tatum,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/)""]",Pay-as-you-go,Full Archive,"$49/mo, $29/yearly, $25/2 years","$0.000009/extra credit, $9/1M extra credits",NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Keys"",""4M credits/mo"",""200 RPS"",""7-day notification history""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",
tatum-enterprise-full-archive,Tatum,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/)""]",Enterprise,Full Archive,Custom,Custom,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,FALSE,"[""Wallet and address management"",""Transaction broadcasting"",""Query of blockchain state"",""Asset management""]","[""Unlimited API Calls"",""Custom Rate Limits"",""30-day notification history"",""Up to 1K req/s""]","[""Key Management System (KMS)"",""Local Transaction Signing"",""Four-Eye Principle"",""Periodic Transaction Fetching and Signing Automation""]","[""Simplified RPC calls"",""Debugging Tools"",""Tracking activities"",""Advanced analytics""]","[""Global""]",
tenderly-dedicated-recent-state,Tenderly,"[""[Website](https://tenderly.co/)"",""[Docs](https://docs.tenderly.co/)""]",Dedicated,Recent-State,Custom,Custom,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,TRUE,"[""eth"",""web3"",""net""]","[""Custom limits""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",
tenderly-free-recent-state,Tenderly,"[""[Website](https://tenderly.co/)"",""[Docs](https://docs.tenderly.co/)""]",Free,Recent-State,$0,$0,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,TRUE,"[""eth"",""web3"",""net""]","[""25M TU/mo with rate limit 10 TU/s""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",
tenderly-pay-as-you-go-recent-state,Tenderly,"[""[Buy](https://dashboard.tenderly.co/account/billing/select-plan)"",""[Docs](https://docs.tenderly.co/)""]",Pay-as-you-go,Recent-State,"$45/$450/mo (monthly plan), $50/$500 (yearly plan)",$10/1M TU,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,TRUE,"[""eth"",""web3"",""net""]","[""35M/350M TU/mo with rate limit 20/300 TU/s""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",
tenderly-enterprise-recent-state,Tenderly,"[""[Contact](https://tenderly.co/pricing)"",""[Docs](https://docs.tenderly.co/)""]",Enterprise,Recent-State,Custom,Custom,NULL,NULL,NULL,99.99%,NULL,NULL,FALSE,TRUE,"[""eth"",""web3"",""net""]","[""Custom limits""]","[""Privacy Protected Relays"",""Transaction Sanitizers"",""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",
thirdweb-dedicated-recent-state,ThirdWeb,"[""[Website](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",Dedicated,Recent-State,$499 + Node price,$8/1M requests (volume discounts applies),NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""1000 requests per second""]",,,,
thirdweb-enterprise-recent-state,ThirdWeb,"[""[Contact](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",Enterprise,Recent-State,up to $1499,$8/1M requests (volume discounts applies),NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]",,,,,
thirdweb-free-recent-state,ThirdWeb,"[""[Website](https://thirdweb.com/)"",""[Docs](https://portal.thirdweb.com/)""]",Free,Recent-State,$0,$0,NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100 requests per second"", ""1M requests""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",
thirdweb-pay-as-you-go-recent-state,ThirdWeb,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://portal.thirdweb.com/)""]",Pay-as-you-go,Recent-State,$5/$99,$8/1M requests (volume discounts applies),NULL,NULL,NULL,,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100/250 requests per second""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",
